Date,Year,Month,Day,Month_Name,Season,City,State,Event_Name,Corps_Count
1964-05-10,1964,05,10,May,Spring,Manchester,NH,"Manchester, NH",15
1964-05-16,1964,05,16,May,Spring,Baldwinville,NY,"Baldwinville, NY",4
1964-05-16,1964,05,16,May,Spring,Shawinigan,Quebec,"Shawinigan, Quebec",16
1964-05-17,1964,05,17,May,Spring,Garfield,NJ,"Garfield, NJ",6
1964-05-17,1964,05,17,May,Spring,Malden,MA,"Malden, MA",4
1964-05-19,1964,05,19,May,Spring,Plymouth,MA,"Plymouth, MA",5
1964-05-23,1964,05,23,May,Spring,Aurora,IL,"Aurora, IL",5
1964-05-23,1964,05,23,May,Spring,Flushing Meadows,NY,"Flushing Meadows, NY",23
1964-05-23,1964,05,23,May,Spring,Poughkeepsie,NY,"Poughkeepsie, NY",4
1964-05-23,1964,05,23,May,Spring,Quebec City,Quebec,"Quebec City, Quebec",8
1964-05-23,1964,05,23,May,Spring,Somerville,MA,"Somerville, MA",7
1964-05-24,1964,05,24,May,Spring,Holyoke,MA,"Holyoke, MA",8
1964-05-25,1964,05,25,May,Spring,Phillipsburg,NY,"Phillipsburg, NY",6
1964-05-27,1964,05,27,May,Spring,Everett,MA,"Everett, MA",6
1964-05-29,1964,05,29,May,Spring,Lewistown,ME,"Lewistown, ME",6
1964-05-30,1964,05,30,May,Spring,Kenosha,WI,"Kenosha, WI",11
1964-05-30,1964,05,30,May,Spring,Kingston,NY,"Kingston, NY",5
1964-05-30,1964,05,30,May,Spring,Midland Park,NJ,"Midland Park, NJ",15
1964-05-31,1964,05,31,May,Spring,Lancaster,PA,"Lancaster, PA",7
1964-06-06,1964,06,06,June,Summer,Baltimore,MD,"Baltimore, MD",9
1964-06-06,1964,06,06,June,Summer,Dumont,NJ,"Dumont, NJ",7
1964-06-06,1964,06,06,June,Summer,East Providence,RI,"East Providence, RI",5
1964-06-06,1964,06,06,June,Summer,Leominster,MA,"Leominster, MA",6
1964-06-06,1964,06,06,June,Summer,Maumee,OH,"Maumee, OH",7
1964-06-06,1964,06,06,June,Summer,New Haven,CT,"New Haven, CT",6
1964-06-06,1964,06,06,June,Summer,Tewksbury,MA,"Tewksbury, MA",9
1964-06-07,1964,06,07,June,Summer,Chelsea,MA,"Chelsea, MA",15
1964-06-07,1964,06,07,June,Summer,Malvern,PA,"Malvern, PA",6
1964-06-07,1964,06,07,June,Summer,Nashua,NH,"Nashua, NH",5
1964-06-07,1964,06,07,June,Summer,New York,NY,"New York, NY",5
1964-06-12,1964,06,12,June,Summer,Longmont,CO,"Longmont, CO",10
1964-06-13,1964,06,13,June,Summer,Altoona,PA,"Altoona, PA",5
1964-06-13,1964,06,13,June,Summer,Ansonia,CT,"Ansonia, CT",12
1964-06-13,1964,06,13,June,Summer,Centerline,MI,"Centerline, MI",4
1964-06-13,1964,06,13,June,Summer,Danvers,MA,"Danvers, MA",13
1964-06-13,1964,06,13,June,Summer,Denver,CO,"Denver, CO",9
1964-06-13,1964,06,13,June,Summer,East Peterson,NJ,"East Peterson, NJ",6
1964-06-13,1964,06,13,June,Summer,Easton,PA,"Easton, PA",7
1964-06-13,1964,06,13,June,Summer,Hamilton,Ontario,"Hamilton, Ontario",5
1964-06-13,1964,06,13,June,Summer,Herkimer,NY,"Herkimer, NY",5
1964-06-13,1964,06,13,June,Summer,Hershey,PA,"Hershey, PA",5
1964-06-13,1964,06,13,June,Summer,New Haven,CT,"New Haven, CT",5
1964-06-13,1964,06,13,June,Summer,Ottawa,Ontario,"Ottawa, Ontario",5
1964-06-13,1964,06,13,June,Summer,Plymouth,WI,"Plymouth, WI",7
1964-06-13,1964,06,13,June,Summer,Springfield,MA,"Springfield, MA",5
1964-06-14,1964,06,14,June,Summer,Bordentown,NJ,"Bordentown, NJ",8
1964-06-14,1964,06,14,June,Summer,Kensington,PA,"Kensington, PA",5
1964-06-14,1964,06,14,June,Summer,Shortsville,NY,"Shortsville, NY",5
1964-06-18,1964,06,18,June,Summer,Walpole,MA,"Walpole, MA",6
1964-06-20,1964,06,20,June,Summer,Bordentown,NJ,"Bordentown, NJ",14
1964-06-20,1964,06,20,June,Summer,Bronx,NY,"Bronx, NY",7
1964-06-20,1964,06,20,June,Summer,Chelsea,MA,"Chelsea, MA",3
1964-06-20,1964,06,20,June,Summer,Girard,PS,"Girard, PS",4
1964-06-20,1964,06,20,June,Summer,Lindenwold,NJ,"Lindenwold, NJ",8
1964-06-20,1964,06,20,June,Summer,Muskegon,MI,"Muskegon, MI",12
1964-06-20,1964,06,20,June,Summer,Newark,NJ,"Newark, NJ",7
1964-06-20,1964,06,20,June,Summer,Park Ridge,IL,"Park Ridge, IL",7
1964-06-20,1964,06,20,June,Summer,Pittsfield,MA,"Pittsfield, MA",5
1964-06-20,1964,06,20,June,Summer,Rochester,NY,"Rochester, NY",5
1964-06-20,1964,06,20,June,Summer,Rome,NY,"Rome, NY",5
1964-06-20,1964,06,20,June,Summer,Santa Rosa,CA,"Santa Rosa, CA",6
1964-06-20,1964,06,20,June,Summer,Stratford,CT,"Stratford, CT",6
1964-06-20,1964,06,20,June,Summer,Syracuse,NY,"Syracuse, NY",5
1964-06-21,1964,06,21,June,Summer,Agawan,MA,"Agawan, MA",10
1964-06-21,1964,06,21,June,Summer,Claremont,NH,"Claremont, NH",6
1964-06-21,1964,06,21,June,Summer,Levittown,PA,"Levittown, PA",6
1964-06-26,1964,06,26,June,Summer,Bedford,MA,"Bedford, MA",9
1964-06-27,1964,06,27,June,Summer,Boston,MA,"Boston, MA",7
1964-06-27,1964,06,27,June,Summer,Butler,PA,"Butler, PA",5
1964-06-27,1964,06,27,June,Summer,Cedarburg,WI,"Cedarburg, WI",18
1964-06-27,1964,06,27,June,Summer,Deer Park,NY,"Deer Park, NY",7
1964-06-27,1964,06,27,June,Summer,Endicott,NY,"Endicott, NY",6
1964-06-27,1964,06,27,June,Summer,Kitchner,Ontario,"Kitchner, Ontario",13
1964-06-27,1964,06,27,June,Summer,Milford,CT,"Milford, CT",5
1964-06-27,1964,06,27,June,Summer,New Haven,CT,"New Haven, CT",5
1964-06-27,1964,06,27,June,Summer,Pittsfield,MA,"Pittsfield, MA",6
1964-06-27,1964,06,27,June,Summer,Pottsville,PA,"Pottsville, PA",6
1964-06-27,1964,06,27,June,Summer,Sacramento,CA,"Sacramento, CA",2
1964-06-27,1964,06,27,June,Summer,Springfield,IL,"Springfield, IL",10
1964-06-27,1964,06,27,June,Summer,Union City,PA,"Union City, PA",5
1964-06-27,1964,06,27,June,Summer,Welland,Ontario,"Welland, Ontario",4
