Date,City,State,Place,Corps,Class,Score,Year
05/19,Baltimore,MD,1,Reading Buccaneers,World Class,78.4,1976
05/22,Alliance,OH,1,Bluecoats,World Class,48.0,1976
05/29,New London,CT,1,27th Lancers,World Class,73.15,1976
05/30,Kingston,NY,1,Belvederes,World Class,65.55,1976
05/19,Baltimore,MD,2,New York Skyliners,World Class,77.9,1976
05/22,Alliance,OH,2,Royal Guardsmen,World Class,37.8,1976
05/29,New London,CT,2,Garfield Cadets,World Class,65.9,1976
05/30,Kingston,NY,2,Grenadiers,World Class,59.5,1976
05/19,Baltimore,MD,3,Connecticut Hurricanes,World Class,76.0,1976
05/22,Alliance,OH,3,Rose City Guardsmen,World Class,27.3,1976
05/29,New London,CT,3,Muchachos,World Class,64.05,1976
05/30,Kingston,NY,3,Townsmen,World Class,54.45,1976
05/19,Baltimore,MD,3,Hawthorne Caballeros,World Class,76.0,1976
05/29,New London,CT,4,Saints,World Class,59.5,1976
05/30,Kingston,NY,4,Lancers,World Class,42.35,1976
05/19,Baltimore,MD,5,Sunrisers,World Class,75.55,1976
05/29,New London,CT,5,Sancians,World Class,47.0,1976
05/30,Kingston,NY,5,Monarchs,World Class,39.05,1976
05/29,New London,CT,6,Monarchs,World Class,21.0,1976
05/30,New Brunswick,NJ,1,Hawthorne Caballeros,World Class,76.15,1976
05/31,Teaneck,NJ,1,Hawthorne Caballeros,World Class,83.15,1976
05/31,Elizabeth,NJ,1,Garfield Cadets,World Class,69.0,1976
05/30,New Brunswick,NJ,2,Yankee Rebels,World Class,70.8,1976
05/31,Teaneck,NJ,2,Sunrisers,World Class,80.5,1976
05/31,Elizabeth,NJ,2,Saints,World Class,67.15,1976
05/30,New Brunswick,NJ,3,Connecticut Hurricanes,World Class,70.0,1976
05/31,Teaneck,NJ,3,New York Skyliners,World Class,78.75,1976
05/31,Elizabeth,NJ,3,Muchachos,World Class,66.55,1976
05/30,New Brunswick,NJ,4,Reading Buccaneers,World Class,68.55,1976
05/31,Teaneck,NJ,4,Matadors,World Class,68.85,1976
05/31,Elizabeth,NJ,4,Crossmen,World Class,61.55,1976
05/30,New Brunswick,NJ,5,New York Skyliners,World Class,68.5,1976
05/31,Teaneck,NJ,5,Westshoremen,World Class,53.2,1976
05/31,Elizabeth,NJ,5,Surfers,World Class,35.5,1976
06/05,East Haven,CT,1,Hawthorne Caballeros,World Class,77.4,1976
06/05,Cedar Rapids,IA,1,Phantom Regiment,World Class,62.35,1976
06/05,Aston,PA,1,Belvederes,World Class,62.55,1976
06/05,Bayonne,NJ,1,27th Lancers,World Class,79.35,1976
06/05,East Haven,CT,2,Sunrisers,World Class,72.95,1976
06/05,Cedar Rapids,IA,2,Emerald Knights,World Class,54.15,1976
06/05,Aston,PA,2,Kingsmen Cadets,World Class,62.2,1976
06/05,Bayonne,NJ,2,Garfield Cadets,World Class,72.15,1976
06/05,East Haven,CT,3,New York Skyliners,World Class,70.35,1976
06/05,Cedar Rapids,IA,3,Americanos,World Class,41.85,1976
06/05,Aston,PA,3,CMCC Warriors,World Class,59.0,1976
06/05,Bayonne,NJ,3,Muchachos,World Class,68.75,1976
06/05,East Haven,CT,4,Matadors,World Class,58.2,1976
06/05,Cedar Rapids,IA,4,Colts,World Class,41.25,1976
06/05,Aston,PA,4,Hazelton Highlanders,World Class,31.05,1976
06/05,Bayonne,NJ,4,Crossmen,World Class,67.05,1976
06/05,Cedar Rapids,IA,5,Royal Chevaliers,World Class,40.2,1976
06/05,Aston,PA,5,Ambassadors (PA),World Class,26.0,1976
06/05,Bayonne,NJ,5,Saints,World Class,65.3,1976
06/05,Toronto,Ontario,1,Seneca Optimists,World Class,71.3,1976
06/05,Lewistown,PA,1,Yankee Rebels,World Class,79.15,1976
06/05,Mechanicsville,PA,1,Avant Garde,World Class,65.5,1976
06/06,Cedar Falls,IA,1,Phantom Regiment,World Class,69.4,1976
06/05,Toronto,Ontario,2,Oakland Crusaders,World Class,67.45,1976
06/05,Lewistown,PA,2,Reading Buccaneers,World Class,74.75,1976
06/05,Mechanicsville,PA,2,Gauchos,World Class,60.4,1976
06/06,Cedar Falls,IA,2,Emerald Knights,World Class,53.5,1976
06/05,Toronto,Ontario,3,Flying Dutchmen,World Class,42.35,1976
06/05,Lewistown,PA,3,Rochester Crusaders,World Class,74.45,1976
06/05,Mechanicsville,PA,3,Fire-ettes,World Class,55.1,1976
06/06,Cedar Falls,IA,3,Americanos,World Class,51.45,1976
06/05,Toronto,Ontario,4,Ventures,World Class,41.25,1976
06/05,Lewistown,PA,4,Phoenix,World Class,71.0,1976
06/05,Mechanicsville,PA,4,Shoreliners,World Class,43.4,1976
06/06,Cedar Falls,IA,4,Fox Valley Raiders,World Class,49.2,1976
06/05,Toronto,Ontario,5,Cardinals,World Class,36.0,1976
06/05,Lewistown,PA,5,Thunderbirds,World Class,64.7,1976
06/05,Mechanicsville,PA,5,Spartans,World Class,39.1,1976
06/06,Cedar Falls,IA,5,Colts,World Class,39.45,1976
06/05,Toronto,Ontario,6,Saint John's Girls,World Class,34.05,1976
06/05,Lewistown,PA,6,Dunkirk Patriots,World Class,47.65,1976
06/06,Cedar Falls,IA,6,Royal Chevaliers,World Class,36.7,1976
06/06,Warren,RI,1,Avant Garde,World Class,73.35,1976
06/11,Milwaukee,WI,1,Madison Scouts,World Class,67.35,1976
06/12,Lewisburg,PA,1,Skyliners,World Class,74.9,1976
06/12,Waterloo,Ontario,1,Seneca Optimists,World Class,74.9,1976
06/06,Warren,RI,2,Lancers,World Class,54.55,1976
06/11,Milwaukee,WI,2,Cavaliers,World Class,65.95,1976
06/12,Lewisburg,PA,2,Buccaneers,World Class,72.3,1976
06/12,Waterloo,Ontario,2,Oakland Crusaders,World Class,72.3,1976
06/06,Warren,RI,3,Centurions,World Class,48.2,1976
06/11,Milwaukee,WI,3,Phantom Regiment,World Class,64.55,1976
06/12,Lewisburg,PA,3,Yankee Rebels,World Class,50.65,1976
06/12,Waterloo,Ontario,3,Flying Dutchmen,World Class,50.65,1976
06/06,Warren,RI,4,Spartans,World Class,46.45,1976
06/11,Milwaukee,WI,4,Blue Stars,World Class,58.6,1976
06/12,Lewisburg,PA,4,Crusaders,World Class,48.85,1976
06/12,Waterloo,Ontario,4,Ventures,World Class,48.85,1976
06/06,Warren,RI,5,Renegades,World Class,43.9,1976
06/11,Milwaukee,WI,5,Kilties,World Class,45.85,1976
06/12,Lewisburg,PA,5,Matadors,World Class,47.8,1976
06/12,Waterloo,Ontario,5,Cardinals,World Class,47.8,1976
06/12,Waterloo,Ontario,6,Saint John's Girls,World Class,40.9,1976
06/12,Waterloo,Ontario,7,Krescendos,World Class,43.7,1976
06/12,Binghamton,NY,1,Squires,World Class,70.7,1976
06/12,Loves Park,IL,1,Phantom Regiment,World Class,69.0,1976
06/12,Nutley,NJ,1,Muchachos,World Class,71.25,1976
06/12,Lynn,MA,1,27th Lancers,World Class,74.55,1976
06/12,Binghamton,NY,2,Avant Garde,World Class,67.05,1976
06/12,Loves Park,IL,2,Cavaliers,World Class,64.4,1976
06/12,Nutley,NJ,2,Garfield Cadets,World Class,71.15,1976
06/12,Lynn,MA,2,Bridgemen,World Class,69.4,1976
06/12,Binghamton,NY,3,Grenadiers,World Class,67.0,1976
06/12,Loves Park,IL,3,Guardsmen,World Class,59.8,1976
06/12,Nutley,NJ,3,Saints,World Class,65.8,1976
06/12,Lynn,MA,3,Boston Crusaders,World Class,65.3,1976
06/12,Binghamton,NY,4,Belvederes,World Class,60.2,1976
06/12,Loves Park,IL,4,Blue Stars,World Class,58.5,1976
06/12,Nutley,NJ,4,Crossmen,World Class,65.75,1976
06/12,Lynn,MA,4,North Shore,World Class,63.75,1976
06/12,Binghamton,NY,5,Kingston Indians,World Class,52.7,1976
06/12,Loves Park,IL,5,Pioneer,World Class,45.6,1976
06/12,Nutley,NJ,5,Surfers,World Class,39.85,1976
06/12,Lynn,MA,5,Holy Family Defenders,World Class,60.15,1976
06/12,Loves Park,IL,6,Knights,World Class,43.85,1976
06/12,Lynn,MA,6,Pembroke Imperials,World Class,56.6,1976
06/12,Lynn,MA,7,Sancians,World Class,54.2,1976
06/12,Lynn,MA,8,Jeanettes,World Class,47.7,1976
06/13,Troy,NY,1,Garfield Cadets,World Class,70.3,1976
06/13,Lewisburg,PA,1,New York Skyliners,World Class,76.6,1976
06/16,Hershey,PA,1,Hawthorne Caballeros,World Class,81.55,1976
06/18,Yakima,WA,1,Black Watch,World Class,67.0,1976
06/13,Troy,NY,2,Saints,World Class,67.3,1976
06/13,Lewisburg,PA,2,Reading Buccaneers,World Class,75.3,1976
06/16,Hershey,PA,2,Reading Buccaneers,World Class,76.6,1976
06/18,Yakima,WA,2,Cascades,World Class,61.0,1976
06/13,Troy,NY,3,Squires,World Class,65.85,1976
06/13,Lewisburg,PA,3,Yankee Rebels,World Class,74.75,1976
06/16,Hershey,PA,3,New York Skyliners,World Class,76.55,1976
06/18,Yakima,WA,3,Titans,World Class,60.15,1976
06/13,Troy,NY,4,Grenadiers,World Class,60.75,1976
06/13,Lewisburg,PA,4,Rochester Crusaders,World Class,67.25,1976
06/16,Hershey,PA,4,Yankee Rebels,World Class,76.1,1976
06/18,Yakima,WA,4,Spartans-WA,World Class,44.3,1976
