Date,City,State,Place,Corps,Class,Score,Year,Event_Name
06/26,Rockford,MI,1,Boston Crusaders,World Class,73.0,2024
06/28,Muncie,IN,1,Carolina Crown,World Class,74.9,2024
06/28,San Diego,CA,1,Blue Devils,World Class,76.6,2024
06/29,Bridgeport,CT,1,Spartans,Open Class,60.4,2024
06/26,Rockford,MI,2,Phantom Regiment,World Class,70.15,2024
06/28,Muncie,IN,2,Boston Crusaders,World Class,74.7,2024
06/28,San Diego,CA,2,Vanguard,World Class,72.65,2024
06/29,Bridgeport,CT,2,7th Regiment,Open Class,53.35,2024
06/26,Rockford,MI,3,Cavaliers,World Class,68.25,2024
06/28,Muncie,IN,3,Phantom Regiment,World Class,72.15,2024
06/28,San Diego,CA,3,Mandarins,World Class,71.65,2024
06/26,Rockford,MI,4,Blue Stars,World Class,66.65,2024
06/28,Muncie,IN,4,Cavaliers,World Class,69.1,2024
06/28,San Diego,CA,4,Pacific Crest,World Class,64.3,2024
06/29,Bridgeport,CT,1,Reading Buccaneers,All-Age - World Class,76.95,2024
06/26,Rockford,MI,5,Colts,World Class,65.4,2024
06/28,Muncie,IN,5,Blue Stars,World Class,67.2,2024
06/29,Bridgeport,CT,2,Bushwackers,All-Age - World Class,74.45,2024
06/28,Muncie,IN,6,Colts,World Class,67.1,2024
06/28,San Diego,CA,1,Blue Devils B,Open Class,61.95,2024
06/29,Bridgeport,CT,3,Hawthorne Caballeros,All-Age - World Class,74.3,2024
06/28,San Diego,CA,2,Gold,Open Class,59.0,2024
06/29,Bridgeport,CT,4,Connecticut Hurricanes,All-Age - World Class,68.1,2024
06/28,San Diego,CA,3,Impulse,Open Class,52.0,2024
06/28,San Diego,CA,4,Vessel,Open Class,49.85,2024
06/29,Bridgeport,CT,1,Fusion Core,All-Age - Open Class,66.3,2024
06/28,San Diego,CA,5,Blue Devils C,Open Class,46.7,2024
06/29,Bridgeport,CT,1,Sunrisers,All-Age - A Class,64.2,2024
06/29,Madison,WI,1,Blue Stars,World Class,68.0,2024
06/29,Los Angeles,CA,1,Blue Devils,World Class,77.1,2024
06/30,Lisle,IL,1,Carolina Crown,World Class,77.1,2024
06/30,San Bernardino,CA,1,Blue Devils,World Class,77.3,2024
06/29,Madison,WI,2,Colts,World Class,67.6,2024
06/29,Los Angeles,CA,2,Vanguard,World Class,72.35,2024
06/30,Lisle,IL,2,Boston Crusaders,World Class,76.6,2024
06/30,San Bernardino,CA,2,Vanguard,World Class,73.55,2024
06/29,Madison,WI,3,Madison Scouts,World Class,65.85,2024
06/29,Los Angeles,CA,3,Mandarins,World Class,71.25,2024
06/30,Lisle,IL,3,Phantom Regiment,World Class,73.8,2024
06/30,San Bernardino,CA,3,Mandarins,World Class,72.95,2024
06/29,Los Angeles,CA,4,Pacific Crest,World Class,62.7,2024
06/30,Lisle,IL,4,Cavaliers,World Class,71.85,2024
06/30,San Bernardino,CA,4,Pacific Crest,World Class,64.0,2024
06/29,Madison,WI,1,Colt Cadets,Open Class,54.95,2024
06/30,Lisle,IL,5,Colts,World Class,70.7,2024
06/29,Los Angeles,CA,1,Blue Devils B,Open Class,63.7,2024
06/30,Lisle,IL,6,Blue Stars,World Class,70.4,2024
06/30,San Bernardino,CA,1,Blue Devils B,Open Class,63.85,2024
06/29,Madison,WI,1,Govenaires,All-Age - A Class,66.0,2024
06/29,Los Angeles,CA,2,Gold,Open Class,59.45,2024
06/30,Lisle,IL,7,Madison Scouts,World Class,67.4,2024
06/30,San Bernardino,CA,2,Gold,Open Class,60.25,2024
06/29,Los Angeles,CA,3,Vessel,Open Class,50.0,2024
06/30,San Bernardino,CA,3,Impulse,Open Class,51.25,2024
06/29,Los Angeles,CA,4,Impulse,Open Class,49.15,2024
06/30,Lisle,IL,1,Colt Cadets,Open Class,57.45,2024
06/30,San Bernardino,CA,4,Vessel,Open Class,51.05,2024
06/29,Los Angeles,CA,5,Blue Devils C,Open Class,45.8,2024
06/30,San Bernardino,CA,5,Blue Devils C,Open Class,46.7,2024
07/02,Mason,OH,1,Bluecoats,World Class,78.75,2024
07/03,Cedarburg,WI,1,Cavaliers,World Class,75.05,2024
07/05,Rockford,IL,1,Phantom Regiment,World Class,77.5,2024
07/02,Mason,OH,2,Boston Crusaders,World Class,78.45,2024
07/03,Cedarburg,WI,2,Blue Stars,World Class,73.35,2024
07/05,Rockford,IL,2,Cavaliers,World Class,75.9,2024
07/02,Mason,OH,3,Carolina Crown,World Class,77.95,2024
07/03,Cedarburg,WI,3,Colts,World Class,73.15,2024
07/05,Rockford,IL,3,Blue Stars,World Class,74.1,2024
07/02,Mason,OH,4,Phantom Regiment,World Class,75.6,2024
07/03,Cedarburg,WI,4,Madison Scouts,World Class,70.2,2024
07/05,Rockford,IL,4,Madison Scouts,World Class,71.35,2024
07/02,Mason,OH,1,Cincinnati Tradition,All-Age - Open Class,74.95,2024
07/03,Cedarburg,WI,1,Colt Cadets,Open Class,56.75,2024
07/05,Rockford,IL,1,River City Rhythm,Open Class,61.6,2024
07/05,Rockford,IL,2,Colt Cadets,Open Class,59.3,2024
07/05,Clovis,CA,1,Blue Devils,World Class,80.6,2024
07/05,Portland,OR,1,Troopers,World Class,71.45,2024
07/06,Whitewater,WI,1,Bluecoats,World Class,81.9,2024
07/05,Clovis,CA,2,Mandarins,World Class,76.6,2024
07/05,Portland,OR,2,Blue Knights,World Class,69.6,2024
07/06,Whitewater,WI,2,Phantom Regiment,World Class,79.15,2024
07/05,Clovis,CA,3,Vanguard,World Class,75.9,2024
07/05,Portland,OR,3,Seattle Cascades,World Class,61.65,2024
07/06,Whitewater,WI,3,Cavaliers,World Class,77.15,2024
07/05,Clovis,CA,4,Pacific Crest,World Class,68.65,2024
07/06,Whitewater,WI,4,Colts,World Class,75.85,2024
07/05,Clovis,CA,5,Academy,World Class,65.5,2024
07/06,Whitewater,WI,5,Madison Scouts,World Class,72.5,2024
07/06,Whitewater,WI,1,Colt Cadets,Open Class,61.15,2024
07/06,Whitewater,WI,1,Rogues Hollow Regiment,All-Age - Open Class,72.7,2024
07/06,Stanford,CA,1,Blue Devils,World Class,81.3,2024
07/06,Seattle,WA,1,Troopers,World Class,72.9,2024
07/07,LaCrosse,WI,1,Blue Stars,World Class,83.4,2024
07/07,Sacramento,CA,1,Blue Devils,World Class,82.05,2024
07/06,Stanford,CA,2,Mandarins,World Class,76.6,2024
07/06,Seattle,WA,2,Blue Knights,World Class,72.25,2024
07/07,LaCrosse,WI,2,Bluecoats,World Class,80.65,2024
