Season,Date,Corps Name,Score
2014,2014-06-20,Blue Devils,52.700
2014,2014-06-21,Blue Devils,53.600
2014,2014-06-22,Blue Devils,55.050
2014,2014-07-01,Blue Devils,54.300
2014,2014-07-05,Blue Devils,61.400
2014,2014-07-12,Blue Devils,68.550
2014,2014-07-13,Blue Devils,68.600
2014,2014-07-27,Blue Devils,75.050
2014,2014-07-28,Blue Devils,75.950
2014,2014-07-30,Blue Devils,77.450
2014,2014-08-01,Blue Devils,77.675
2014,2014-08-04,Blue Devils,80.825
2014,2014-08-05,Blue Devils,82.650
2014,2014-08-07,Blue Devils,80.800
2014,2014-08-08,Blue Devils,82.325
2015,2015-06-19,Blue Devils,72.200
2015,2015-06-20,Blue Devils,73.450
2015,2015-06-21,Blue Devils,75.150
2015,2015-06-27,Blue Devils,79.400
2015,2015-06-28,Blue Devils,79.850
2015,2015-07-02,Blue Devils,81.050
2015,2015-07-03,Blue Devils,82.500
2015,2015-07-05,Blue Devils,82.600
2015,2015-07-08,Blue Devils,83.700
2015,2015-07-11,Blue Devils,82.850
2015,2015-07-12,Blue Devils,83.800
2015,2015-07-13,Blue Devils,84.650
2015,2015-07-14,Blue Devils,85.500
2015,2015-07-17,Blue Devils,86.900
2015,2015-07-18,Blue Devils,87.300
2015,2015-07-20,Blue Devils,87.900
2015,2015-07-22,Blue Devils,88.800
2015,2015-07-24,Blue Devils,89.600
2015,2015-07-25,Blue Devils,91.475
2015,2015-07-26,Blue Devils,91.450
2015,2015-07-27,Blue Devils,91.800
2015,2015-07-30,Blue Devils,93.750
2015,2015-07-31,Blue Devils,93.725
2015,2015-08-02,Blue Devils,95.500
2015,2015-08-06,Blue Devils,95.350
2015,2015-08-07,Blue Devils,96.625
2015,2015-08-08,Blue Devils,97.650
2016,2016-06-24,Blue Devils,68.950
2016,2016-06-25,Blue Devils,69.200
2016,2016-06-26,Blue Devils,71.400
2016,2016-07-02,Blue Devils,75.500
2016,2016-07-03,Blue Devils,77.550
2016,2016-07-07,Blue Devils,79.500
2016,2016-07-09,Blue Devils,80.800
2016,2016-07-11,Blue Devils,81.350
